Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,17.340000,17.485001,17.200001,17.295000,16.792503,7139940
2022-11-29,17.260000,17.445000,17.160000,17.350000,16.845907,7066390
2022-11-30,17.400000,17.520000,17.190001,17.225000,16.724539,23651698
2022-12-01,17.320000,17.600000,17.299999,17.389999,16.884743,7283566
2022-12-02,17.299999,17.424999,17.180000,17.299999,16.797358,7010116
2022-12-05,17.299999,17.745001,17.299999,17.590000,17.078934,9942339
2022-12-06,17.424999,17.455000,17.205000,17.325001,16.821632,8930591
2022-12-07,17.170000,17.260000,17.045000,17.090000,16.593460,6587633
2022-12-08,17.115000,17.150000,16.975000,17.004999,16.510929,6366746
2022-12-09,16.900000,17.155001,16.809999,17.125000,16.627443,7338669
2022-12-12,17.094999,17.125000,16.870001,16.950001,16.457529,4754302
2022-12-13,17.000000,17.514999,17.000000,17.455000,16.947855,7192774
2022-12-14,17.430000,17.434999,17.129999,17.165001,16.666283,5729312
2022-12-15,17.200001,17.219999,16.590000,16.705000,16.219646,9333594
2022-12-16,16.650000,16.705000,16.395000,16.514999,16.035166,23559574
2022-12-19,16.549999,16.834999,16.530001,16.754999,16.268192,5655539
2022-12-20,16.549999,16.745001,16.469999,16.650000,16.166245,7043157
2022-12-21,16.705000,17.295000,16.665001,17.270000,16.768230,7518426
2022-12-22,17.260000,17.355000,17.049999,17.110001,16.612879,6203501
2022-12-23,17.110001,17.385000,17.110001,17.299999,16.797358,4758955
2022-12-27,17.400000,17.434999,17.295000,17.379999,16.875034,2869565
2022-12-28,17.400000,17.420000,17.254999,17.280001,16.777941,3598831
2022-12-29,17.230000,17.400000,17.174999,17.365000,16.860470,3292258
2022-12-30,17.299999,17.330000,17.205000,17.205000,16.705118,4987280
2023-01-03,17.400000,17.885000,17.389999,17.805000,17.287687,8202203
2023-01-04,17.805000,18.280001,17.805000,18.215000,17.685774,9498738
2023-01-05,18.190001,18.299999,18.100000,18.225000,17.695484,6098539
2023-01-06,18.299999,18.340000,17.990000,18.295000,17.763451,7324971
2023-01-09,18.344999,18.639999,18.340000,18.545000,18.006186,9568401
2023-01-10,18.455000,18.584999,18.334999,18.545000,18.006186,5672840
2023-01-11,18.600000,18.985001,18.594999,18.879999,18.331451,9651843
2023-01-12,19.000000,19.219999,18.905001,19.100000,18.545061,9282853
2023-01-13,19.155001,19.240000,18.870001,19.184999,18.627590,8265716
2023-01-16,19.184999,19.485001,19.100000,19.485001,18.918875,8783384
2023-01-17,19.410000,19.590000,19.405001,19.590000,19.020824,8750978
2023-01-18,19.500000,19.745001,19.500000,19.639999,19.069370,7969545
2023-01-19,19.420000,19.525000,19.080000,19.150000,18.593607,11910272
2023-01-20,19.334999,19.450001,19.275000,19.450001,18.884893,6363815
2023-01-23,19.469999,19.610001,19.350000,19.549999,18.981985,6283188
2023-01-24,19.600000,19.700001,19.495001,19.635000,19.064516,5655318
2023-01-25,19.620001,19.635000,19.325001,19.520000,18.952858,5969450
2023-01-26,19.600000,19.790001,19.525000,19.790001,19.215014,6234969
2023-01-27,19.780001,19.870001,19.665001,19.760000,19.185884,6045527
2023-01-30,19.680000,19.850000,19.605000,19.850000,19.273270,8559623
2023-01-31,19.650000,19.715000,19.045000,19.440001,18.875183,15019890
2023-02-01,19.620001,19.735001,19.450001,19.584999,19.015968,9989872
2023-02-02,19.600000,19.995001,19.559999,19.850000,19.273270,10245153
2023-02-03,19.799999,20.170000,19.719999,20.139999,19.554844,10877735
2023-02-06,20.020000,20.049999,19.650000,19.844999,19.268415,7723967
2023-02-07,19.805000,19.980000,19.629999,19.870001,19.292690,6189851
2023-02-08,20.000000,20.080000,19.870001,19.895000,19.316963,9766522
2023-02-09,20.000000,20.250000,19.930000,20.090000,19.506298,11056613
2023-02-10,20.030001,20.059999,19.809999,19.945000,19.365509,6694189
2023-02-13,19.910000,20.040001,19.879999,20.010000,19.428621,4731371
2023-02-14,20.080000,20.410000,20.040001,20.250000,19.661648,7560172
2023-02-15,20.080000,20.330000,20.040001,20.309999,19.719904,5675238
2023-02-16,20.389999,20.490000,20.190001,20.410000,19.816999,6303225
2023-02-17,20.270000,20.450001,20.170000,20.290001,19.700487,6386744
2023-02-20,20.309999,20.420000,20.150000,20.219999,19.632519,5001294
2023-02-21,20.150000,20.250000,19.920000,20.230000,19.642229,5303906
2023-02-22,20.000000,20.100000,19.805000,19.975000,19.394638,6933411
2023-02-23,20.000000,20.230000,19.924999,20.160000,19.574263,5434703
2023-02-24,20.170000,20.270000,19.950001,20.070000,19.486877,5004387
2023-02-27,20.120001,20.440001,20.110001,20.320000,19.729614,6476023
2023-02-28,20.209999,20.629999,20.160000,20.450001,19.855839,9223278
2023-03-01,20.440001,20.490000,20.250000,20.309999,19.719904,7889351
2023-03-02,20.180000,20.190001,20.010000,20.190001,19.603392,7977364
2023-03-03,20.100000,20.700001,20.080000,20.680000,20.079155,11502374
2023-03-06,20.660000,20.850000,20.629999,20.740000,20.137411,8679727
2023-03-07,20.660000,20.740000,20.379999,20.410000,19.816999,8744319
2023-03-08,20.180000,20.340000,20.129999,20.190001,19.603392,7747709
2023-03-09,20.090000,20.180000,19.934999,20.090000,19.506298,6957535
2023-03-10,19.200001,19.584999,18.959999,19.180000,18.622736,20062017
2023-03-13,19.105000,19.135000,17.540001,17.709999,17.195446,28661545
2023-03-14,17.690001,18.395000,17.375000,18.340000,17.807142,16324574
2023-03-15,18.299999,18.299999,16.709999,16.740000,16.253630,27980977
2023-03-16,17.980000,17.980000,16.910000,17.309999,16.807068,26206237
2023-03-17,17.705000,17.735001,16.870001,17.110001,16.612879,37003360
2023-03-20,15.640000,18.285000,14.380000,17.325001,16.821632,76860811
2023-03-21,17.780001,19.475000,17.629999,19.424999,18.860617,36408215
2023-03-22,19.355000,20.120001,18.600000,18.705000,18.161537,23188490
2023-03-23,18.500000,18.750000,17.860001,17.895000,17.375072,21221680
2023-03-24,17.139999,17.360001,16.395000,17.260000,16.758522,26368230
2023-03-27,17.670000,17.695000,17.014999,17.445000,16.938147,11845594
2023-03-28,17.820000,18.004999,17.514999,17.740000,17.224575,11483023
2023-03-29,18.090000,18.629999,17.934999,18.400000,17.865398,19840899
2023-03-30,18.600000,19.075001,18.514999,19.025000,18.472240,13803591
2023-03-31,18.799999,19.360001,18.750000,19.290001,18.729542,12542840
2023-04-03,19.379999,19.465000,18.459999,18.735001,18.190666,13417539
2023-04-04,18.700001,19.049999,18.655001,18.770000,18.224649,9452482
2023-04-05,18.900000,18.990000,18.490000,18.530001,17.991623,6212465
2023-04-06,18.575001,18.815001,18.525000,18.730000,18.185810,5693459
2023-04-11,18.820000,19.139999,18.815001,18.930000,18.380001,9468519
2023-04-12,18.799999,19.155001,18.629999,19.010000,19.010000,13703792
2023-04-13,18.975000,19.135000,18.940001,19.065001,19.065001,7765553
2023-04-14,19.000000,19.715000,18.995001,19.465000,19.465000,8604111
2023-04-17,19.469999,19.500000,18.490000,18.725000,18.725000,9478115
2023-04-18,18.889999,19.049999,18.790001,18.790001,18.790001,6995148
2023-04-19,18.715000,18.799999,18.434999,18.580000,18.580000,7705868
2023-04-20,18.625000,18.750000,18.205000,18.270000,18.270000,8192262
2023-04-21,18.080000,18.135000,17.815001,18.055000,18.055000,8932035
2023-04-24,18.000000,18.445000,17.940001,18.195000,18.195000,8354864
2023-04-25,17.500000,18.209999,17.219999,17.799999,17.799999,11475574
2023-04-26,17.355000,18.160000,17.325001,17.959999,17.959999,10537053
2023-04-27,17.775000,18.080000,17.719999,17.940001,17.940001,5025913
2023-04-28,18.004999,18.120001,17.770000,18.065001,18.065001,6061569
2023-05-02,18.059999,18.245001,17.660000,17.700001,17.700001,7969553
2023-05-03,17.799999,17.805000,17.205000,17.230000,17.230000,8248750
2023-05-04,17.059999,17.219999,16.549999,16.740000,16.740000,10923284
2023-05-05,16.825001,17.450001,16.754999,17.400000,17.400000,8358191
2023-05-08,17.395000,17.535000,17.330000,17.475000,17.475000,4358231
2023-05-09,17.500000,17.635000,17.299999,17.450001,17.450001,4607869
2023-05-10,17.520000,17.584999,17.184999,17.270000,17.270000,5525111
2023-05-11,17.315001,17.420000,16.980000,17.145000,17.145000,7644085
2023-05-12,17.174999,17.385000,17.094999,17.235001,17.235001,4202974
2023-05-15,17.250000,17.280001,17.100000,17.235001,17.235001,4553210
2023-05-16,17.170000,17.330000,17.100000,17.165001,17.165001,4957628
2023-05-17,17.170000,17.365000,17.035000,17.344999,17.344999,4642080
2023-05-19,17.700001,18.190001,17.549999,17.990000,17.990000,10589285
2023-05-22,17.969999,18.094999,17.940001,18.080000,18.080000,4374259
2023-05-23,18.080000,18.155001,17.959999,18.110001,18.110001,4105537
2023-05-24,17.889999,17.959999,17.730000,17.855000,17.855000,6934403
2023-05-25,17.950001,17.950001,17.670000,17.670000,17.670000,5067875
2023-05-26,17.730000,17.959999,17.320000,17.915001,17.915001,6010796
2023-05-30,17.799999,17.940001,17.559999,17.580000,17.580000,5469362
2023-05-31,17.459999,17.610001,17.170000,17.240000,17.240000,23652677
2023-06-01,17.330000,17.655001,17.264999,17.655001,17.655001,5489503
2023-06-02,17.764999,18.129999,17.715000,18.080000,18.080000,5721747
2023-06-05,18.129999,18.445000,18.065001,18.129999,18.129999,6538826
2023-06-06,18.040001,18.299999,18.020000,18.264999,18.264999,3860479
2023-06-07,18.299999,18.375000,18.094999,18.270000,18.270000,4294789
2023-06-08,18.424999,18.545000,18.170000,18.254999,18.254999,4751307
2023-06-09,18.120001,18.340000,18.084999,18.200001,18.200001,5042072
2023-06-12,18.320000,18.465000,18.219999,18.350000,18.350000,7239703
2023-06-13,18.430000,18.530001,18.350000,18.430000,18.430000,4632141
2023-06-14,18.450001,18.620001,18.400000,18.485001,18.485001,10123822
2023-06-15,18.545000,18.575001,18.125000,18.254999,18.254999,5835136
2023-06-16,18.170000,18.375000,18.084999,18.250000,18.250000,16220594
2023-06-19,18.270000,18.594999,18.270000,18.504999,18.504999,4271272
2023-06-20,18.340000,18.405001,18.065001,18.065001,18.065001,6589717
2023-06-21,18.049999,18.230000,17.980000,18.025000,18.025000,4243280
2023-06-22,17.780001,17.924999,17.610001,17.834999,17.834999,4695690
2023-06-23,17.680000,17.809999,17.575001,17.725000,17.725000,4088015
2023-06-26,17.660000,17.674999,17.260000,17.559999,17.559999,6798371
2023-06-27,17.705000,17.820000,17.415001,17.570000,17.570000,4708312
2023-06-28,17.830000,17.830000,17.549999,17.754999,17.754999,5206429
2023-06-29,17.805000,17.990000,17.680000,17.889999,17.889999,4099023
2023-06-30,17.969999,18.165001,17.855000,18.094999,18.094999,7128951
2023-07-03,18.230000,18.434999,18.195000,18.280001,18.280001,4666347
2023-07-04,18.350000,18.450001,18.200001,18.219999,18.219999,1991875
2023-07-05,18.150000,18.184999,17.870001,17.959999,17.959999,4349393
2023-07-06,17.705000,17.745001,17.280001,17.309999,17.309999,6316889
2023-07-07,17.344999,17.690001,17.344999,17.665001,17.665001,4362921
2023-07-10,17.650000,17.825001,17.555000,17.709999,17.709999,3300355
2023-07-11,17.730000,17.889999,17.545000,17.815001,17.815001,4177509
2023-07-12,17.870001,18.105000,17.855000,18.055000,18.055000,5078996
2023-07-13,17.990000,18.150000,17.950001,18.094999,18.094999,2810519
2023-07-14,18.065001,18.290001,17.950001,18.080000,18.080000,5696946
2023-07-17,18.129999,18.299999,18.059999,18.129999,18.129999,4807696
2023-07-18,18.090000,18.315001,18.030001,18.315001,18.315001,3833553
2023-07-19,18.360001,18.580000,18.309999,18.350000,18.350000,5027077
2023-07-20,18.275000,18.485001,18.275000,18.379999,18.379999,4468142
2023-07-21,18.430000,18.620001,18.415001,18.480000,18.480000,4262226
2023-07-24,18.389999,18.660000,18.370001,18.629999,18.629999,4818418
2023-07-25,18.700001,18.965000,18.660000,18.780001,18.780001,5519354
2023-07-26,18.660000,18.870001,18.610001,18.865000,18.865000,6553096
2023-07-27,18.950001,19.230000,18.670000,19.110001,19.110001,6808095
2023-07-28,19.090000,19.360001,19.025000,19.250000,19.250000,4348403
2023-07-31,19.330000,19.360001,19.125000,19.275000,19.275000,5510248
2023-08-02,18.900000,19.014999,18.725000,18.799999,18.799999,7137246
