,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Employee Benefits,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Prepaid Assets,Receivables,Other Receivables,Accounts Receivable,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,ExchangeRate
2023-09-30,228822625.0,3233265097.0,3462087722.0,91276000000.0,362550000000.0,77394000000.0,441863000000.0,77394000000.0,5543000000.0,84856000000.0,403820000000.0,85398000000.0,542000000.0,84856000000.0,1000000.0,-953000000.0,4122000000.0,76726000000.0,12858000000.0,346000000.0,346000000.0,1559124000000.0,198019000000.0,8399000000.0,1005000000.0,652000000.0,353000000.0,324507000000.0,5543000000.0,318964000000.0,11515000000.0,38043000000.0,38043000000.0,38043000000.0,93544000000.0,3221000000.0,90323000000.0,41546000000.0,2366000000.0,2366000000.0,46411000000.0,1644522000000.0,231159000000.0,93140000000.0,133091000000.0,2715000000.0,7462000000.0,,,17919000000.0,,,,,,,2735000000.0,38319000000.0,8353000000.0,29966000000.0,2213000000.0,265731000000.0,262383000000.0,1.0956665632433549
2023-06-30,234314998.0,3227772724.0,3462087722.0,98207000000.0,369421000000.0,79430000000.0,450610000000.0,79430000000.0,5810000000.0,86999000000.0,410088000000.0,87635000000.0,636000000.0,86999000000.0,-1000000.0,161000000.0,4208000000.0,78180000000.0,12521000000.0,346000000.0,346000000.0,1591145000000.0,193147000000.0,7310000000.0,1262000000.0,828000000.0,434000000.0,328899000000.0,5810000000.0,323089000000.0,14929000000.0,40522000000.0,40522000000.0,40522000000.0,96012000000.0,3653000000.0,92359000000.0,41416000000.0,2452000000.0,2452000000.0,48491000000.0,1678780000000.0,243717000000.0,91610000000.0,147199000000.0,2691000000.0,7569000000.0,,,18325000000.0,,,,,,,3138000000.0,35535000000.0,8478000000.0,27057000000.0,2217000000.0,265404000000.0,261587000000.0,1.110134859011034
2023-03-31,472352835.0,3052282887.0,3524635722.0,48394000000.0,198648000000.0,50482000000.0,252108000000.0,50482000000.0,3294000000.0,56754000000.0,224696000000.0,57106000000.0,352000000.0,56754000000.0,,581000000.0,8242000000.0,51140000000.0,12971000000.0,304000000.0,304000000.0,996028000000.0,116113000000.0,4550000000.0,556000000.0,290000000.0,266000000.0,171236000000.0,3294000000.0,167942000000.0,3937000000.0,27412000000.0,27412000000.0,27412000000.0,81608000000.0,1895000000.0,79713000000.0,32238000000.0,1644000000.0,1644000000.0,45831000000.0,1053134000000.0,198892000000.0,79923000000.0,115614000000.0,1114000000.0,6272000000.0,,,12249000000.0,,,,,,,1265000000.0,27497000000.0,3245000000.0,24252000000.0,2241000000.0,146960000000.0,144183000000.0,1.0909911717495986
2022-12-31,416909010.0,3107726712.0,3524635722.0,17117000000.0,193276000000.0,50609000000.0,246818000000.0,50609000000.0,3334000000.0,56876000000.0,217142000000.0,57218000000.0,342000000.0,56876000000.0,-1000000.0,-103000000.0,6874000000.0,50004000000.0,13546000000.0,304000000.0,304000000.0,1047146000000.0,154906000000.0,6822000000.0,471000000.0,235000000.0,236000000.0,163600000000.0,3334000000.0,160266000000.0,3243000000.0,29676000000.0,29676000000.0,29676000000.0,86893000000.0,1760000000.0,85133000000.0,36436000000.0,1663000000.0,1663000000.0,47034000000.0,1104364000000.0,189175000000.0,79776000000.0,106059000000.0,1101000000.0,6267000000.0,224000000.0,6043000000.0,12288000000.0,-14838000000.0,27126000000.0,4459000000.0,1136000000.0,11587000000.0,9944000000.0,1076000000.0,23430000000.0,2783000000.0,20647000000.0,2239000000.0,172825000000.0,169445000000.0,1.0831725398598557
2022-09-30,342282123.0,3257365680.0,3257365680.0,12117000000.0,184268000000.0,49546000000.0,236908000000.0,49546000000.0,3116000000.0,55756000000.0,212059000000.0,56086000000.0,330000000.0,55756000000.0,,-1103000000.0,5617000000.0,48813000000.0,13359000000.0,304000000.0,304000000.0,1055667000000.0,192297000000.0,6013000000.0,557000000.0,260000000.0,297000000.0,159419000000.0,3116000000.0,156303000000.0,3281000000.0,24849000000.0,24849000000.0,24849000000.0,96810000000.0,1785000000.0,95025000000.0,44321000000.0,1469000000.0,1469000000.0,49235000000.0,1111753000000.0,154047000000.0,67734000000.0,83038000000.0,1032000000.0,6210000000.0,,,11829000000.0,,,,,,,1069000000.0,27006000000.0,1766000000.0,25240000000.0,2243000000.0,169035000000.0,166406000000.0,1.0195586235749399
